Figure;Question;Answer;Complexity_Question;Useful_Adaptation
Stimuli/50_Partial_NodeSize_6nodes.png;How many nodes have high level of relevance (Size)?;1;Easy;
Stimuli/80_Partial_NodeSize_12nodes.png;How many nodes have high level of relevance (Size)?;7;Easy;
Stimuli/22_Partial_NodeSize_3nodes.png;How many nodes have medium level of relevance (Size) and no outgoing edge?;1;Hard;
Stimuli/52_Partial_NodeSize_6nodes.png;How many nodes have small level of relevance (Size) and no outgoing edge?;2;Hard;
Stimuli/82_Partial_NodeSize_12nodes.png;How many nodes have high level of relevance (Size) and no outgoing edge?;3;Hard;
Stimuli/24_Partial_NodeSize_3nodes.png;How many nodes have medium level of relevance (Size)?;1;Easy;
Stimuli/54_Partial_NodeSize_6nodes.png;How many nodes have medium level of relevance (Size) and no outgoing edge?;1;Hard;
Stimuli/84_Partial_NodeSize_12nodes.png;How many nodes have small level of relevance (Size)?;2;Easy;
Stimuli/26_Partial_NodeType_3nodes.png;How many nodes are type malware (Orange)?;1;Easy;
Stimuli/56_Partial_NodeType_6nodes.png;How many nodes are type malware (Orange)?;1;Easy;
Stimuli/86_Partial_NodeType_12nodes.png;How many nodes are type malware (Orange)?;2;Easy;
Stimuli/28_Partial_NodeType_3nodes.png;How many connections are between malware (Orange) and attack pattern (Green)?;1;Hard;
Stimuli/58_Partial_NodeType_6nodes.png;How many connections are between malware (Orange) and Indicator (Pink)?;1;Hard;
Stimuli/88_Partial_NodeType_12nodes.png;How many connectinos are between malware (Orange) and attack pattern (Green)?;1;Hard;
Stimuli/30_Partial_NodeType_3nodes.png;How many nodes are type attack pattern (Green)?;3;Easy;
Stimuli/60_Partial_NodeType_6nodes.png;How many connections are between indicator (Pink) and Course of Action (Yellow)?;0;Hard;
Stimuli/90_Partial_NodeType_12nodes.png;How many nodes are type Indicator (Pink)?;2;Easy;
